Year,Moose,Wolves
1980,664,50
1981,650,30
1982,700,14
1983,900,23
1984,811,24
1985,1062,22
1986,1025,20
1987,1380,16
1988,1653,12
1989,1397,11
1990,1216,15
1991,1313,12
1992,1600,12
1993,1880,13
1994,1800,15
1995,2400,16
1996,1200,22
1997,500,24
1998,700,14
1999,750,25
2000,850,29
2001,900,19
2002,1000,17
2003,900,19
2004,750,29
2005,540,30
2006,385,30
2007,450,21
2008,650,23
2009,530,24
2010,510,19
2011,515,16
2012,750,9
2013,975,8
2014,1050,9
2015,1250,3
2016,1300,2
2017,1600,2
2018,1500,2
2019,2060,14
